date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:10	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Dec%202023%2022:27:10%20GMT	https://huaweihealth.online/robots.txt		(from )
23:27:10	8991/8991	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/index.html	(from )
23:27:10	19246/19246	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/img/logo.png	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/img/logo.png	(from https://huaweihealth.online/)
23:27:11	19246/19246	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/img/logo.png?h=8b52d3a3e63d98d2d444183d46a5392a	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/img/logo75f8.png	(from https://huaweihealth.online/)
23:27:11	173370/173370	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/bootstrap/css/bootstrap.min.css?h=b69a528ab9c979a9055bc8ec4f68b52b	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/bootstrap/css/bootstrap.min4ba7.css	(from https://huaweihealth.online/)
23:27:11	57180/57180	---MCZ	200	added ('OK')	text/css	etag:W/%22500d1a92f875b1d96d37a3a3f8f0438c%22	https://use.fontawesome.com/releases/v5.12.0/css/all.css	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/use.fontawesome.com/releases/v5.12.0/css/all.css	(from https://huaweihealth.online/)
23:27:11	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://huaweihealth.online/)
23:27:11	10996/10996	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd2-2af4%22	https://cdnjs.cloudflare.com/ajax/libs/simple-line-icons/2.4.1/css/simple-line-icons.min.css	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/cdnjs.cloudflare.com/ajax/libs/simple-line-icons/2.4.1/css/simple-line-icons.min.css	(from https://huaweihealth.online/)
23:27:12	566/566	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/fonts/fontawesome5-overrides.min.css?h=ef9efa29ed5490562c2ff272112d2e97	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/fonts/fontawesome5-overrides.mina453.css	(from https://huaweihealth.online/)
23:27:12	1036/1036	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/css/styles.min.css?h=7bb30df6350f6db84b984beed6a8828d	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/css/styles.mine9b0.css	(from https://huaweihealth.online/)
23:27:12	633/633	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/img/bg-pattern.png?h=88366d218f2eda574d88b27e4cb4169d	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/img/bg-pattern421e.png	(from https://huaweihealth.online/)
23:27:13	45621/45621	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/img/Huawei-Health-App.jpg?h=6ebd7516ded2ca57e4cc9e0f5b7c21de	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/img/Huawei-Health-Appb6c6.jpg	(from https://huaweihealth.online/)
23:27:14	7068/7068	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/img/google-play-badge.svg?h=7d81478f4f9fda85b994e6cadcaf5c38	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/img/google-play-badge1540.svg	(from https://huaweihealth.online/)
23:27:14	14552/14552	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/privacy-policy.html	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/privacy-policy.html	(from https://huaweihealth.online/)
23:27:14	14596/14596	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/terms.html	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/terms.html	(from https://huaweihealth.online/)
23:27:14	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://huaweihealth.online/)
23:27:15	286729/286729	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/img/iphone_6_plus_white_port.png?h=2a129662d7173870d11129054ae5f049	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/img/iphone_6_plus_white_port18c4.png	(from https://huaweihealth.online/)
23:27:15	521/521	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/assets/js/script.min.js?h=abade7a6b58120c54533d461e48e360b	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/assets/js/script.min08a4.js	(from https://huaweihealth.online/)
23:27:15	8991/8991	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Nov%202023%2021:29:25%20GMT	https://huaweihealth.online/index.html	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/index-2.html	(from https://huaweihealth.online/privacy-policy.html)
23:27:15	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Dec%202023%2022:27:15%20GMT	https://huaweihealth.online/support@huaweihealth.online	C:/Users/Soufian/Desktop/hh%20Landing/Hua%20Land/huaweihealth.online/support@huaweihealth.online	(from https://huaweihealth.online/privacy-policy.html)
